[2024-07-08T22:28:23.522+0000] {processor.py:161} INFO - Started process (PID=32) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-07-08T22:28:23.525+0000] {processor.py:830} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-07-08T22:28:23.526+0000] {logging_mixin.py:188} INFO - [2024-07-08T22:28:23.526+0000] {dagbag.py:545} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-07-08T22:28:23.544+0000] {processor.py:840} INFO - DAG(s) 'dataset_produces_1', 'consume_1_and_2_with_dataset_expressions', 'consume_1_or_2_with_dataset_expressions', 'conditional_dataset_and_time_based_timetable', 'dataset_consumes_1_and_2', 'dataset_consumes_1_never_scheduled', 'dataset_produces_2', 'dataset_consumes_unknown_never_scheduled', 'dataset_consumes_1', 'consume_1_or_both_2_and_3_with_dataset_expressions' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-07-08T22:28:23.578+0000] {logging_mixin.py:188} INFO - [2024-07-08T22:28:23.578+0000] {dag.py:3096} INFO - Sync 10 DAGs
[2024-07-08T22:28:23.606+0000] {logging_mixin.py:188} INFO - [2024-07-08T22:28:23.606+0000] {dag.py:3954} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-07-03 01:00:00+00:00, run_after=2024-07-03 01:00:00+00:00
[2024-07-08T22:28:23.613+0000] {logging_mixin.py:188} INFO - [2024-07-08T22:28:23.612+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-07-08T22:28:23.615+0000] {logging_mixin.py:188} INFO - [2024-07-08T22:28:23.615+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-07-08T22:28:23.617+0000] {logging_mixin.py:188} INFO - [2024-07-08T22:28:23.617+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-07-08T22:28:23.625+0000] {logging_mixin.py:188} INFO - [2024-07-08T22:28:23.625+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-07-08T22:28:23.630+0000] {logging_mixin.py:188} INFO - [2024-07-08T22:28:23.630+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-07-08T22:28:23.633+0000] {logging_mixin.py:188} INFO - [2024-07-08T22:28:23.633+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-07-08T22:28:23.637+0000] {logging_mixin.py:188} INFO - [2024-07-08T22:28:23.636+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-07-08T22:28:23.640+0000] {logging_mixin.py:188} INFO - [2024-07-08T22:28:23.640+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_1 to 2024-07-07 00:00:00+00:00, run_after=2024-07-08 00:00:00+00:00
[2024-07-08T22:28:23.642+0000] {logging_mixin.py:188} INFO - [2024-07-08T22:28:23.642+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-07-08T22:28:23.720+0000] {processor.py:183} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.206 seconds
